m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
4160,4160,4160,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6302.33
4192,4192,4192,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5713.8
4224,4224,4224,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6294.71
4256,4256,4256,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5731.62
4288,4288,4288,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6296.78
4320,4320,4320,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6466.8
4352,4352,4352,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6307.8
4384,4384,4384,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5785.34
4416,4416,4416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6313.17
4448,4448,4448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5816.38
4480,4480,4480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6322.05
4512,4512,4512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6506.97
4544,4544,4544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6329.95
4576,4576,4576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5854.87
4608,4608,4608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6387.85
4640,4640,4640,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5915.68
4672,4672,4672,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6328.11
4704,4704,4704,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6528.81
4736,4736,4736,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6336.43
4768,4768,4768,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5887.01
4800,4800,4800,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6351.91
4832,4832,4832,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5920.75
4864,4864,4864,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6305
4896,4896,4896,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6565.29
4928,4928,4928,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6326.93
4960,4960,4960,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5919.32
4992,4992,4992,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6282.22
5024,5024,5024,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5906.62
5056,5056,5056,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6309.3
5088,5088,5088,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6602.44
5120,5120,5120,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6315.78
5152,5152,5152,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5936.27
5184,5184,5184,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6302.72
5216,5216,5216,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5945.09
